Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	OUTLIERRG	MTP	Tm1	Tm2	Tm3	Tm4
11	A11	FALSE	Control	YTHDF3	UNKNOWN	SYBR	None	25.273	25.254	0.114								TRUE	0.440	TRUE	3	18	Amp		0.990	N	N	N	80.771			
12	A12	FALSE	Control	YTHDF3	UNKNOWN	SYBR	None	25.357	25.254	0.114								TRUE	0.440	TRUE	3	19	Amp		0.954	N	N	N	80.934			
13	B1	FALSE	EB	GAPDH	UNKNOWN	SYBR	None	20.631	20.990	0.311								TRUE	0.346	TRUE	3	15	Amp		0.973	N	Y	N	85.475			
14	B2	FALSE	EB	GAPDH	UNKNOWN	SYBR	None	21.178	20.990	0.311								TRUE	0.346	TRUE	3	14	Amp		0.987	N	N	N	85.475			
15	B3	FALSE	EB	GAPDH	UNKNOWN	SYBR	None	21.162	20.990	0.311								TRUE	0.346	TRUE	3	16	Amp		0.990	N	N	N	85.592			
16	B4	FALSE	EB	YTHDF1	UNKNOWN	SYBR	None	25.983	26.170	0.167								TRUE	0.392	TRUE	3	19	Amp		0.992	N	N	N	80.733			
17	B5	FALSE	EB	YTHDF1	UNKNOWN	SYBR	None	26.225	26.170	0.167								TRUE	0.392	TRUE	3	20	Amp		0.989	N	N	N	80.600			
18	B6	FALSE	EB	YTHDF1	UNKNOWN	SYBR	None	26.303	26.170	0.167								TRUE	0.392	TRUE	3	20	Amp		0.990	N	N	N	80.762			
19	B7	FALSE	EB	YTHDF2	UNKNOWN	SYBR	None	25.956	26.055	0.127								TRUE	0.390	TRUE	3	20	Amp		0.993	N	N	N	82.240			
20	B8	FALSE	EB	YTHDF2	UNKNOWN	SYBR	None	26.011	26.055	0.127								TRUE	0.390	TRUE	3	19	Amp		0.987	N	N	N	82.240			
21	B9	FALSE	EB	YTHDF2	UNKNOWN	SYBR	None	26.198	26.055	0.127								TRUE	0.390	TRUE	3	20	Amp		0.989	N	N	N	82.399			
22	B10	FALSE	EB	YTHDF3	UNKNOWN	SYBR	None	26.196	26.203	0.010								TRUE	0.440	TRUE	3	20	Amp		0.988	N	N	N	80.613			
23	B11	FALSE	EB	YTHDF3	UNKNOWN	SYBR	None	26.214	26.203	0.010								TRUE	0.440	TRUE	3	20	Amp		0.989	N	N	N	80.771			
24	B12	FALSE	EB	YTHDF3	UNKNOWN	SYBR	None	26.199	26.203	0.010								TRUE	0.440	TRUE	3	20	Amp		0.966	N	N	N	80.771			
25	C1	FALSE	Day4	GAPDH	UNKNOWN	SYBR	None	20.712	22.259	1.385								TRUE	0.346	TRUE	3	15	Amp		0.990	Y	N	N	85.313			
